pharmacy_number;filial_number;pharmacy_name;address;postcode;city;pharmacy_types;ibnr;search_string;lattitude;longitude;found_address
19;01;Firkløver Apoteket Bankager;Bankagervej 111;8700;Horsens;Filial frivillig;01901;Bankagervej 111, 8700;55.83627212;9.83294215;road
19;02;Firkløver Apoteket Stensballe;Sundgårdsvej 1;8700;Horsens;Filial frivillig;01902;Sundgårdsvej 1, 8700;55.87255984;9.90277252;road
21;00;Kongelig Hof Apotek;St. Kongensgade 45;1264;København K;Apotek-tillægsbevilling;02100;St. Kongensgade 45, 1264;55.68324108;12.58664445;road
22;00;Slagelse Svane Apotek;Jernbanegade 7;4200;Slagelse;Apotek;02200;Jernbanegade 7, 4200;55.40564266;11.35312384;road
22;01;Antvorskov Apotek;Idagårdsvej 1;4200;Slagelse;Filial frivillig;02201;Idagårdsvej 1, 4200;55.39049222;11.35522781;road
22;02;Ringsted Svane Apotek;Nørregade 13;4100;Ringsted;Filial frivillig;02202;Nørregade 13, 4100;55.44688821;11.78882578;road
23;00;Kalundborg Svane Apotek;Elmegade 15;4400;Kalundborg;Apotek;02300;Elmegade 15, 4400;55.67881717;11.09726423;road
24;00;Assens Apotek;Østergade 35;5610;Assens;Apotek;02400;Østergade 35, 5610;55.27008125;9.89748276;road
24;01;Haarby Apotek;Algade 33;5683;Haarby;Påbudt filial under tilskudsnedtrapning;02401;Algade 33, 5683;55.22332032;10.12408626;road
24;02;Glamsbjerg Apotek;Søndergade 70;5620;Glamsbjerg;Filial frivillig;02402;Søndergade 70, 5620;55.27357363;10.10725885;road
25;00;Maribo Krone Apotek;Vestergade 1;4930;Maribo;Apotek;02500;Vestergade 1, 4930;54.77437832;11.50054815;road
25;01;Torvegade Krone Apotek;Lollands Centret 36;4930;Maribo;Filial frivillig;02501;Lollands Centret 36, 4930;54.77397721;11.50582965;road
26;00;Elefant Apoteket Holbæk;Ahlgade 17B;4300;Holbæk;Apotek-tillægsbevilling;02600;Ahlgade 17B, 4300;55.71813608;11.70996275;road
26;01;Elefant Apoteket Smedelundsgade;Smedelundsgade 33;4300;Holbæk;Filial frivillig;02601;Smedelundsgade 33, 4300;55.71401681;11.7163077;road
27;00;Rudkøbing Apotek;Engdraget 1;5900;Rudkøbing;Apotek;02700;Engdraget 1, 5900;54.93477836;10.71550485;road
27;01;Humble Apotek;Hovedgaden 2;5932;Humble;Filial;02701;Hovedgaden 2, 5932;54.82636684;10.69893006;road
28;00;Stege Apotek;Vasen 3;4780;Stege;Apotek;02800;Vasen 3, 4780;54.98118736;12.28168574;road
29;00;Christianshavns Apotek;Torvegade 47;1400;København K;Apotek;02900;Torvegade 47, 1400;55.67234437;12.59192559;road
29;03;Islands Brygge Apotek;Thorshavnsgade 28, st. tv.;2300;København S;Filial frivillig;02903;Thorshavnsgade 28, st. tv., 2300;55.66701126;12.57816961;road
29;04;Fields Apotek;Arne Jacobsens Allé 12;2300;København S;Filial frivillig;02904;Arne Jacobsens Allé 12, 2300;55.63099889;12.57589255;road
30;00;Holstebro Løveapotek;Store Torv 8;7500;Holstebro;Apotek;03000;Store Torv 8, 7500;56.35796151;8.61733726;road
31;00;Vaisenhus Apotek;Landemærket 3-5;1119;København K;Apotek-tillægsbevilling;03100;Landemærket 3-5, 1119;55.6816951;12.57565321;road
32;00;Vordingborg Apotek;Voldgade 20;4760;Vordingborg;Apotek-tillægsbevilling;03200;Voldgade 20, 4760;55.00955989;11.9090831;road
32;01;Lundby Apotek;Lundby Hovedgade 90;4750;Lundby;Filial;03201;Lundby Hovedgade 90, 4750;55.10900221;11.87640186;road
34;00;Faaborg Løve Apotek;Herregårdscentret 6;5600;Faaborg;Apotek-tillægsbevilling;03400;Herregårdscentret 6, 5600;55.10062494;10.24004331;road
34;01;Marstal Apotek;Kongensgade 28;5960;Marstal;Filial;03401;Kongensgade 28, 5960;54.85540029;10.51779925;road
35;00;Svendborg Løve Apotek;Vestergade 16;5700;Svendborg;Apotek;03500;Vestergade 16, 5700;55.05943398;10.60476261;road
35;01;Hesselager Apotek;Langgade 20;5874;Hesselager;Filial;03501;Langgade 20, 5874;55.16929274;10.7341255;road
35;02;Løve Apoteket Svendborg Øst;Møllergade 92-96;5700;Svendborg;Filial frivillig;03502;Møllergade 92-96, 5700;55.07835242;10.58107726;first postcode address
36;00;Vejle Løve Apotek;Søndergade 29;7100;Vejle;Apotek;03600;Søndergade 29, 7100;55.70607871;9.53280116;road
37;00;Grenaa Apotek;Kannikegade 12;8500;Grenaa;Apotek;03700;Kannikegade 12, 8500;56.41217007;10.87635685;road
37;01;Kattegat Apotek;Østerbrogade 41;8500;Grenaa;Filial frivillig;03701;Østerbrogade 41, 8500;56.41405137;10.88613019;road
37;02;Fregat Apotek;Østeralle 16;8400;Ebeltoft;Filial frivillig;03702;Østeralle 16, 8400;56.19611668;10.68038564;road
38;00;Ringkøbing Løve Apotek;Torvegade 5B;6950;Ringkøbing;Apotek;03800;Torvegade 5B, 6950;56.09064841;8.24218565;road
38;01;Videbæk Apotek;Bredgade 32;6920;Videbæk;Filial;03801;Bredgade 32, 6920;56.09133201;8.63059982;road
38;02;Søndervig Løve Apotek;Badevej 1;6950;Ringkøbing;Filial frivillig;03802;Badevej 1, 6950;56.11890514;8.11644296;road
39;00;Thisted Svane Apotek;Kalkengen 4;7700;Thisted;Apotek;03900;Kalkengen 4, 7700;56.96924322;8.68713573;road
39;01;Fjerritslev Apotek;Østergade  11-13;9690;Fjerritslev;Filial;03901;Østergade  11-13, 9690;57.08594213;9.26625551;first postcode address
39;02;Apoteket Lille Torv Thisted;Torvegade 3, st;7700;Thisted;Filial frivillig;03902;Torvegade 3, st, 7700;56.95519282;8.69128482;road
42;00;Rønne Apotek;Store Torvegade 12;3700;Rønne;Apotek-tillægsbevilling;04200;Store Torvegade 12, 3700;55.1036186;14.69950036;road
43;00;Korsør Apotek;Havnearkaderne 19;4220;Korsør;Apotek;04300;Havnearkaderne 19, 4220;55.33083896;11.13936237;road
43;01;Klosterparkens Apotek;Klosterparks Allé 10;4100;Ringsted;Filial frivillig;04301;Klosterparks Allé 10, 4100;55.45351161;11.78806905;road
44;00;Hillerød Frederiksborg Apotek;Slotsarkaderne 122;3400;Hillerød;Apotek-tillægsbevilling;04400;Slotsarkaderne 122, 3400;55.92959252;12.29887695;road
45;00;Hjørring Løve Apotek;Østergade 7A;9800;Hjørring;Apotek;04500;Østergade 7A, 9800;57.45974903;9.98819504;road
45;01;Hjørring Hjorte Apotek;Frederikshavnsvej 44;9800;Hjørring;Filial frivillig;04501;Frederikshavnsvej 44, 9800;57.4551863;10.0060901;road
47;00;Middelfart Apotek;Jernbanegade 2c;5500;Middelfart;Apotek;04700;Jernbanegade 2c, 5500;55.50412033;9.73436684;road
47;02;Haderslev Krone Apotek;Bredgade 12;6100;Haderslev;Filial frivillig;04702;Bredgade 12, 6100;55.25484904;9.48257974;road
47;03;Kolding Krone Apotek;Domhusgade 6;6000;Kolding;Filial frivillig;04703;Domhusgade 6, 6000;55.48425212;9.47918818;road
51;00;Varde Apotek;Vestergade 3;6800;Varde;Apotek;05100;Vestergade 3, 6800;55.62082151;8.47965017;road
51;01;Varde Østervold Apotek;Østervold 5;6800;Varde;Filial frivillig;05101;Østervold 5, 6800;55.6237299;8.48268922;road
51;02;Oksbøl apotek;Vestergade 14;6840;Oksbøl;Filial frivillig;05102;Vestergade 14, 6840;55.62535652;8.27816966;road
52;00;Kerteminde Apotek;Hans Schackvej 2;5300;Kerteminde;Apotek-tillægsbevilling;05200;Hans Schackvej 2, 5300;55.45398848;10.63940423;first postcode address
52;02;Munkebo Apotek;Bycentret 103;5330;Munkebo;Filial frivillig;05202;Bycentret 103, 5330;55.45982588;10.55779053;road
53;00;Skive Løve Apotek;Posthustorvet 1a;7800;Skive;Apotek;05300;Posthustorvet 1a, 7800;56.56532809;9.02639602;road
53;01;Skive Løve Apotek City Vest;Holstebrovej 68b;7800;Skive;Filial frivillig;05301;Holstebrovej 68b, 7800;56.56933249;9.00509847;road
53;02;Sct. Mathias Apotek;Sct. Mathias Centret;8800;Viborg;Filial frivillig;05302;Sct. Mathias Centret, 8800;56.44849663;9.40556036;road
53;03;Nyholm Apotek;Nyholmsvej 20;7500;Holstebro;Filial frivillig;05303;Nyholmsvej 20, 7500;56.35732471;8.63361195;first postcode address
53;04;Balling Apotek;Vestergade 1, Balling;7860;Spøttrup;Filial;05304;Vestergade 1, Balling, 7860;56.61376638;8.87902915;road
54;00;Hobro Apotek;Adelgade 18;9500;Hobro;Apotek;05400;Adelgade 18, 9500;56.63938773;9.79326508;road
58;00;Skælskør Apotek;Algade 21;4230;Skælskør;Apotek;05800;Algade 21, 4230;55.25374599;11.29423634;road
59;00;Lyngby Svane Apotek;Lyngby Hovedgade 27;2800;Kongens Lyngby;Apotek;05900;Lyngby Hovedgade 27, 2800;55.77153116;12.50252659;road
60;00;Stilling Apotek;Hotelvej 7;8660;Skanderborg;Apotek-tillægsbevilling;06000;Hotelvej 7, 8660;56.06145085;9.98535543;road
60;06;Skanderborg Apotek;Adelgade 61;8660;Skanderborg;Filial frivillig;06006;Adelgade 61, 8660;56.03337501;9.93170384;road
62;00;Elefant Apoteket Nykøbing;Algade 20;4500;Nykøbing Sjælland;Apotek;06200;Algade 20, 4500;55.92218147;11.66812203;road
63;00;Aalborg Løve Apotek;Nytorv 3;9000;Aalborg;Apotek;06300;Nytorv 3, 9000;57.04868169;9.9225871;road
63;02;Kennedy Apotek;John F. Kennedys Plads 1E, st.;9000;Aalborg;Filial frivillig;06302;John F. Kennedys Plads 1E, st., 9000;57.04232839;9.91903979;road
64;00;Lemvig Apotek;Vasen 6, Postboks 79;7620;Lemvig;Apotek;06400;Vasen 6, Postboks 79, 7620;56.55491828;8.31621109;first postcode address
64;01;Ulfborg Apotek;Bredgade 9;6990;Ulfborg;Filial;06401;Bredgade 9, 6990;56.27217111;8.32218408;road
64;02;Bøvlingbjerg Apotek;Fårevej 143;7650;Bøvlingbjerg;Filial;06402;Fårevej 143, 7650;56.43858014;8.20224666;road
66;00;Frederikshavn Løve Apotek;Hangaardsvej 7;9900;Frederikshavn;Apotek;06600;Hangaardsvej 7, 9900;57.43871596;10.53416919;road
66;01;Fladstrand Apotek;H. C. Ørsteds Vej 5;9900;Frederikshavn;Filial frivillig;06601;H. C. Ørsteds Vej 5, 9900;57.44485699;10.497059;road
66;02;Skagen Apotek;Sct. Laurentiivej 44;9990;Skagen;Filial;06602;Sct. Laurentiivej 44, 9990;57.73522112;10.59139453;first postcode address
67;00;Stevns Apotek;Nytorv 5;4660;Store Heddinge;Apotek;06700;Nytorv 5, 4660;55.30977301;12.38783598;road
67;01;Karise Apotek;Syrenvænget 20;4653;Karise;Filial;06701;Syrenvænget 20, 4653;55.30377106;12.1993318;road
67;03;Søndre Kyst Apotek;Søndre Molevej 12A;4600;Køge;Filial frivillig;06703;Søndre Molevej 12A, 4600;55.45219041;12.19542233;road
67;04;Apoteket Postbyen;Posten 4C, 1. 1;1577;København V;Filial frivillig;06704;Posten 4C, 1. 1, 1577;55.66588582;12.56597124;first postcode address
68;00;Frederikssund Apotek;Nygade 1;3600;Frederikssund;Apotek;06800;Nygade 1, 3600;55.83651456;12.06505042;road
68;01;Slangerup Apotek;Kongensgade 14A;3550;Slangerup;Filial frivillig;06801;Kongensgade 14A, 3550;55.84590591;12.17193911;road
68;02;Fjord Apoteket Frederikssund;Kalvøvej 2A;3600;Frederikssund;Filial frivillig;06802;Kalvøvej 2A, 3600;55.83615638;12.05827975;road
69;00;Sæby Apotek;Søndergade 7;9300;Sæby;Apotek;06900;Søndergade 7, 9300;57.33491494;10.52044419;road
69;01;Østervrå Apotek;Industrivej 10;9750;Øster Vrå;Filial;06901;Industrivej 10, 9750;57.34056518;10.23849827;road
70;00;Ebeltoft Apotek;Bryggerivej 4;8400;Ebeltoft;Apotek-tillægsbevilling;07000;Bryggerivej 4, 8400;56.19965392;10.68106421;road
70;01;Kolind Apotek;Drasbeksgade 16;8560;Kolind;Filial;07001;Drasbeksgade 16, 8560;56.36266845;10.58845263;road
70;02;Rønde Apotek;Ceresvej 16;8410;Rønde;Filial frivillig;07002;Ceresvej 16, 8410;56.30046654;10.47898728;road
77;00;Ringsted Apotek;Sct. Hansgade 23;4100;Ringsted;Apotek;07700;Sct. Hansgade 23, 4100;55.44422556;11.79145125;road
77;02;Roskilde Stations Apotek;Stationscentret 12;4000;Roskilde;Filial frivillig;07702;Stationscentret 12, 4000;55.63761256;12.08364363;road
78;00;Herning Løve Apotek;Bredgade 45;7400;Herning;Apotek;07800;Bredgade 45, 7400;56.13610723;8.96986071;road
78;02;Dæmningens Apotek;Dæmningen 17;7400;Herning;Filial frivillig;07802;Dæmningen 17, 7400;56.13251379;8.96088497;road
79;00;Hørsholm Apotek;Hørsholm Midtpunkt 78;2970;Hørsholm;Apotek;07900;Hørsholm Midtpunkt 78, 2970;55.88252688;12.49756007;road
79;01;Nivå Apotek;Nivå Center 72;2990;Nivå;Filial frivillig;07901;Nivå Center 72, 2990;55.93475671;12.50427831;road
79;02;Apoteket Egevangen;Egevangen 8;2980;Kokkedal;Filial frivillig;07902;Egevangen 8, 2980;55.9061414;12.47494612;road
79;03;Kongevejens Apotek;Usserød Kongevej 65 B;2970;Hørsholm;Filial frivillig;07903;Usserød Kongevej 65 B, 2970;55.88638037;12.47165678;first postcode address
79;04;Rungsted Apotek;Rungsted Bytorv;2960;Rungsted Kyst;Filial frivillig;07904;Rungsted Bytorv, 2960;55.88348217;12.52859772;road
80;00;Frederiksværk Apotek;Nørregade 4;3300;Frederiksværk;Apotek;08000;Nørregade 4, 3300;55.97321712;12.02165362;road
80;01;Hundested Apotek;Nørregade 11;3390;Hundested;Filial;08001;Nørregade 11, 3390;55.96508147;11.85106557;road
80;02;Halsnæs Apotek;Torvet 35, Kvickly;3300;Frederiksværk;Filial frivillig;08002;Torvet 35, Kvickly, 3300;55.97783812;12.01001954;first postcode address
81;00;Rødby Krone Apotek;Havnegade 11;4970;Rødby;Apotek-tillægsbevilling;08100;Havnegade 11, 4970;54.65986037;11.35511145;road
82;00;Nexø Apotek;Sdr. Hammer 4A;3730;Nexø;Apotek;08200;Sdr. Hammer 4A, 3730;55.06193696;15.13441258;road
82;01;Allinge Apotek;Kirkegade 13;3770;Allinge;Filial;08201;Kirkegade 13, 3770;55.27711605;14.80228914;road
86;00;Præstø Apotek;Svend Gønges Torv 12;4720;Præstø;Apotek;08600;Svend Gønges Torv 12, 4720;55.12194211;12.04014929;road
87;00;Hammel Frijsenborg Apotek;Østergade 1;8450;Hammel;Apotek-tillægsbevilling;08700;Østergade 1, 8450;56.25593717;9.86531561;road
88;00;Grindsted Apotek;Borgergade 29;7200;Grindsted;Apotek-tillægsbevilling;08800;Borgergade 29, 7200;55.75626069;8.931128;road
88;01;Billund Apotek;Gammelbro 74A;7190;Billund;Filial frivillig;08801;Gammelbro 74A, 7190;55.72925932;9.11563184;road
88;02;Grindsted Lyng Apotek;Vestergade 34;7200;Grindsted;Filial frivillig;08802;Vestergade 34, 7200;55.75923809;8.9222817;road
89;00;Silkeborg Ørne Apotek;Vestergade 9A;8600;Silkeborg;Apotek-tillægsbevilling;08900;Vestergade 9A, 8600;56.16883243;9.54821032;road
90;00;Nørrebro Apotek;Nørrebrogade 8;2200;København N;Apotek;09000;Nørrebrogade 8, 2200;55.68746235;12.56233038;road
91;00;Ringe Apotek;Torvet 5;5750;Ringe;Apotek-tillægsbevilling;09100;Torvet 5, 5750;55.2372047;10.47976972;road
92;00;Nørresundby Apotek;Torvet 3A;9400;Nørresundby;Apotek;09200;Torvet 3A, 9400;57.05867635;9.9231242;road
92;01;Lindholm Apotek;Lindholm Nærbanevej 1D;9400;Nørresundby;Filial frivillig;09201;Lindholm Nærbanevej 1D, 9400;57.06334348;9.93033817;first postcode address
92;02;Vodskov Apotek;Vodskovvej 41;9310;Vodskov;Filial frivillig;09202;Vodskovvej 41, 9310;57.10470357;10.02950803;road
92;03;Solsidens Apotek;Vestergade 30;9400;Nørresundby;Filial frivillig;09203;Vestergade 30, 9400;57.05970951;9.91815853;road
96;00;Odder Apotek;Rosensgade 14;8300;Odder;Apotek;09600;Rosensgade 14, 8300;55.97253068;10.14743408;road
96;01;Samsø Apotek;Langgade 6, Tranebjerg;8305;Samsø;Filial;09601;Langgade 6, Tranebjerg, 8305;55.83185188;10.59474295;road
96;02;Malling Apotek;Stationspladsen 5;8340;Malling;Filial frivillig;09602;Stationspladsen 5, 8340;56.03817153;10.19127653;road
96;03;Apoteket Nørregade - Odder;Nørregade 6;8300;Odder;Filial frivillig;09603;Nørregade 6, 8300;55.97451696;10.14864985;road
96;04;Solbjerg Apotek;Elleskovvej 11, st. tv.;8355;Solbjerg;Filial frivillig;09604;Elleskovvej 11, st. tv., 8355;56.04457159;10.08303623;road
98;00;Tarm Apotek;Storegade 27;6880;Tarm;Apotek;09800;Storegade 27, 6880;55.90713247;8.52098401;road
98;01;Ølgod Apotek;Torvet 4;6870;Ølgod;Filial;09801;Torvet 4, 6870;55.80749431;8.61991918;road
100;00;Haslev Apotek;Jernbanegade 11;4690;Haslev;Apotek;10000;Jernbanegade 11, 4690;55.32889891;11.96352676;road
101;00;Firkløver Apoteket Brædstrup;Søndergade 32;8740;Brædstrup;Apotek;10100;Søndergade 32, 8740;55.97002462;9.61022592;road
101;01;Firkløver Apoteket Østbirk;H.C. Andersensvej 2A;8752;Østbirk;Filial;10101;H.C. Andersensvej 2A, 8752;55.96882929;9.74955327;road
101;02;Firkløver Apoteket Horsens;Høegh Guldbergs Gade 10;8700;Horsens;Filial frivillig;10102;Høegh Guldbergs Gade 10, 8700;55.85727261;9.85253764;road
104;00;Hornslet Apotek;Byvej 8;8543;Hornslet;Apotek;10400;Byvej 8, 8543;56.31648537;10.32040242;road
104;01;Auning Apotek;Centervej 13;8963;Auning;Filial;10401;Centervej 13, 8963;56.43146797;10.37396697;road
104;02;Løgten Apotek;Bytorvet 1 A;8541;Skødstrup;Filial frivillig;10402;Bytorvet 1 A, 8541;56.25879641;10.29673686;first postcode address
105;00;Aabybro Apotek;Østergade 36;9440;Aabybro;Apotek;10500;Østergade 36, 9440;57.1594593;9.73261473;road
105;01;Brovst Apotek;Østergade  16;9460;Brovst;Filial;10501;Østergade  16, 9460;57.09729309;9.52483612;road
105;02;Løkken Apotek;Søndergade 15;9480;Løkken;Filial;10502;Søndergade 15, 9480;57.34954802;9.70000459;first postcode address
105;03;Pandrup Apotek;Bredgade 3;9490;Pandrup;Filial frivillig;10503;Bredgade 3, 9490;57.2249416;9.6773659;road
109;00;Glostrup Apotek;Hovedvejen 101;2600;Glostrup;Apotek;10900;Hovedvejen 101, 2600;55.66565754;12.39653796;road
109;01;Apoteket Glostrup Shoppingcenter;Glostrup Shoppingcenter 48;2600;Glostrup;Filial frivillig;10901;Glostrup Shoppingcenter 48, 2600;55.66548675;12.40057165;road
111;00;Frederiksberg Apotek;Gammel Kongevej 162;1850;Frederiksberg C;Apotek;11100;Gammel Kongevej 162, 1850;55.67378702;12.55407778;first postcode address
111;01;Apoteket Frederiksberg Centret;Falkoner Alle 21, 2 sal;2000;Frederiksberg;Filial frivillig;11101;Falkoner Alle 21, 2 sal, 2000;55.67504706;12.53221607;first postcode address
112;00;Kjellerup Apotek;Bryggerstræde 5;8620;Kjellerup;Apotek;11200;Bryggerstræde 5, 8620;56.28867629;9.43116379;road
112;01;Søtorvet Apotek;Søtorvet 6;8600;Silkeborg;Filial frivillig;11201;Søtorvet 6, 8600;56.17229068;9.55404788;road
113;00;Gilleleje Apotek;Vesterbrogade 6B;3250;Gilleleje;Apotek;11300;Vesterbrogade 6B, 3250;56.12581677;12.30434197;road
113;01;Hornbæk Apotek;Sauntevej 2;3100;Hornbæk;Filial frivillig;11301;Sauntevej 2, 3100;56.0912383;12.41418879;first postcode address
115;00;Give Apotek;Østergade 8-14;7323;Give;Apotek;11500;Østergade 8-14, 7323;55.84709964;9.24717414;first postcode address
115;01;Brande Apotek;Storegade 13, Postboks 29;7330;Brande;Filial;11501;Storegade 13, Postboks 29, 7330;55.94524698;9.13441348;first postcode address
115;02;Jelling Apotek;Gorms Torv 5;7300;Jelling;Filial frivillig;11502;Gorms Torv 5, 7300;55.7554575;9.41799551;road
115;03;Havne Apotek;Windfeld-Hansensgade 3;7100;Vejle;Filial frivillig;11503;Windfeld-Hansensgade 3, 7100;55.71450648;9.53186406;first postcode address
116;00;Elefant Apoteket Jyderup;Skarridsøgade 35A-B;4450;Jyderup;Apotek-tillægsbevilling;11600;Skarridsøgade 35A-B, 4450;55.65755055;11.40728703;first postcode address
118;00;Horsens Svane Apotek;Grønlandsvej 1 D;8700;Horsens;Apotek;11800;Grønlandsvej 1 D, 8700;55.87170701;9.84494181;first postcode address
119;00;Hvalsø Apotek;Roskildevej 4;4330;Hvalsø;Apotek;11900;Roskildevej 4, 4330;55.5895841;11.8638878;road
119;01;Tølløse Apotek;Vestergade 70;4340;Tølløse;Filial frivillig;11901;Vestergade 70, 4340;55.61206677;11.76385713;road
121;00;Otterup Apotek;Nørregade 2;5450;Otterup;Apotek;12100;Nørregade 2, 5450;55.51529838;10.39832958;road
121;01;Søndersø Apotek;Toftekær 2;5471;Søndersø;Filial;12101;Toftekær 2, 5471;55.4819276;10.25262941;road
121;02;Bogense Apotek;Vestergade 9;5400;Bogense;Filial frivillig;12102;Vestergade 9, 5400;55.56457245;10.08815426;road
122;00;Egtved Apotek;Aftensang 8K;6040;Egtved;Apotek-tillægsbevilling;12200;Aftensang 8K, 6040;55.61963405;9.30734379;road
123;00;Odense Bellinge Apotek;Elmegårdsvej 2;5250;Odense SV;Apotek-tillægsbevilling;12300;Elmegårdsvej 2, 5250;55.33690388;10.31561588;road
123;01;Tommerup Apotek;Tallerupvej 24;5690;Tommerup;Filial frivillig;12301;Tallerupvej 24, 5690;55.34689548;10.18108729;road
123;02;Apoteket Dalumcentret;Dalumvej 46;5250;Odense SV;Filial frivillig;12302;Dalumvej 46, 5250;55.37069192;10.3725607;road
