RecArt;SHAK_code;DatoStart;DatoChange;DatoEnd;Codetext;Agrp;Bgrp;Cgrp;SKS;Egrp;Aval;Bval;Cval;Dval;Inclusion;ExtraReg
afd;1301031;19790101;19790101;19821231;MEDICINSK AFD. B;1.0;6.0;;;;;;;;;
afd;1301031;19830101;19830101;19901231;MEDICINSK AFD. B;6.0;1.0;61.0;;;;;;;;
afd;1301031;19910101;19910101;19941231;MEDICINSK AFDELING B;6.0;1.0;;;;;;;;;
afd;1301031;19950101;19950101;19951231;MEDICINSK AFDELING B;6.0;1.0;;;;;;;;;
afd;1301031;19960101;19991124;19991231;MEDICINSK AFDELING B;6.0;1.0;10.0;84.0;SKS;;;;3.0;;
afd;1301031;20000101;20250527;20260630;Hjertemedicinsk klinik B, heldøgn;6.0;1.0;10.0;84.0;SKS;;;;3.0;;
afd;1301032;19760401;19760401;19781231;LUNGEFYSIOLOGISK LABORATORIUM;61.0;;;;;;;;;;
afd;1301032;19790101;19790101;19821231;LUNGEFYSIOLOGISK LAB.;61.0;;;;;;;;;;
afd;1301032;19830101;19830101;19901231;LUNGEFYSIOLOGISK LAB.;61.0;;;;;;;;;;
afd;1301033;19760401;19760401;19781231;CARDIOLOGISK LABORATORIUM;6.0;61.0;;;;;;;;;
afd;1301033;19790101;19790101;19821231;CARDIOLOGISK LAB.;61.0;6.0;;;;;;;;;
afd;1301033;19830101;19830101;19901231;CARDIOLOGISK LABORATORIUM;6.0;61.0;;;;;;;;;
afd;1301033;19910101;19910101;19941231;CARDIOLOGISK LABORATORIUM;6.0;61.0;;;;;;;;;
afd;1301033;19950101;19991124;19991231;CARDIOLOGISK LABORATORIUM;6.0;61.0;;;SKS;;;;3.0;;
afd;1301033;20000101;20250527;20260630;Hjertemedicinsk klinik B, kardiologisk laboratorium;6.0;61.0;;;SKS;;;;3.0;;
afd;1301034;19770101;19770101;19781231;FLYVEMEDICINSK KLINIK;1.0;;;;;;;;;;
afd;1301034;19790101;19790101;19821231;FLYVEMEDICINSK KLINIK;1.0;44.0;46.0;;;;;;;;
afd;1301034;19830101;19830101;19841231;FLYVEMEDICINSK KLINIK;1.0;44.0;46.0;;;;;;;;
afd;1301036;19950101;19991124;19991231;MEDICINSK AFD. B, DAGAFSNIT;1.0;6.0;;;SKS;;;;3.0;;
afd;1301036;20000101;20020627;20020630;Hjertemedicinsk klinik B, dagafsnit;1.0;6.0;;;SKS;;;;3.0;;
afd;1301037;19770101;19770101;19781231;PACEMAKERAMBULATORIUM;6.0;;;;;;;;;;
afd;1301037;19790101;19790101;19821231;PACEMAKERAMB.;6.0;;;;;;;;;;
afd;1301037;19830101;19830101;19901231;PACEMAKERAMBULATORIUM;6.0;;;;;;;;;;
afd;1301037;19910101;19910101;19941231;PACEMAKERAMBULATORIUM;6.0;;;;;;;;;;
afd;1301037;19950101;19991124;19991231;PACEMAKERAMBULATORIUM;6.0;;;;SKS;;;;3.0;;
afd;1301037;20000101;20130618;20130627;Hjertemedicinsk klinik B, pacemakerambulatorium;6.0;;;;SKS;;;;3.0;;
afd;1301039;19770101;19770101;19781231;MEDICINSK AMBULATORIUM;1.0;;;;;;;;;;
afd;1301039;19790101;19790101;19821231;MEDICINSK AMB. B;1.0;6.0;;;;;;;;;
afd;1301039;19830101;19830101;19901231;MEDICINSK AMB. B;1.0;6.0;;;;;;;;;
afd;1301039;19910101;19910101;19941231;MEDICINSK AMB. B;1.0;6.0;;;;;;;;;
afd;1301039;19950101;19950101;19951231;MEDICINSK AMB. B;1.0;6.0;;;;;;;;;
afd;1301039;19960101;19991124;19991231;MEDICINSK AMB. B;1.0;6.0;10.0;;SKS;;;;3.0;;
afd;1301039;20000101;20250527;20260630;Hjertemedicinsk klinik B, ambulatorium;1.0;6.0;10.0;;SKS;;;;3.0;;
afd;1301040;19760401;19760401;19781231;DERMATOLOGISK AFDELING H;18.0;;;;;;;;;;
afd;1301041;19790101;19790101;19821231;DERMATOLOGISK AFD. H;18.0;;;;;;;;;;
afd;1301041;19830101;19830101;19941231;DERMATOLOGISK AFD. H;18.0;;;;;;;;;;
afd;1301041;19950101;19950101;19961231;DERMATOLOGISK AFD. H;18.0;;;;;;;;;;
afd;1301047;19850101;19850101;19871230;DERMATOLOGISK AMB. H, STRANDB.;18.0;;;;;;;;;;
afd;1301049;19770101;19770101;19781231;DERMATOLOGISK AMBULATORIUM;18.0;;;;;;;;;;
afd;1301049;19790101;19790101;19821231;DERMATOLOGISK AMB. H;18.0;;;;;;;;;;
afd;1301049;19830101;19830101;19941231;DERMATOLOGISK AMB. H;18.0;;;;;;;;;;
afd;1301049;19950101;19950101;19961231;DERMATOLOGISK AMB. H;18.0;;;;;;;;;;
afd;130105;20060101;20250527;20260630;Klinik for Diagnostisk Radiologi, X;;;;;SKS;;;;3.0;;
afd;1301050;19760401;19760401;19781231;RADIOLOGISK AFDELING X;66.0;;;;;;;;;;
afd;1301051;19770101;19770101;19781231;RADIOLOGISK AFDELING TX;66.0;;;;;;;;;;
afd;1301051;19790101;19790101;19821231;RADIOLOGISK AFD. X, TAGENSV.;66.0;;;;;;;;;;
afd;1301051;19830101;19830101;19941231;RADIOLOGISK AFD. X, TAGENSV.;66.0;;;;;;;;;;
afd;1301051;19950101;19950101;19951231;RADIOLOGISK AFD. X, TAGENSV.;66.0;;;;;;;;;;
afd;1301051;19960101;19991124;19991231;RADIOLOGISK AFD. X;66.0;;;;SKS;;;;3.0;;
afd;1301051;20000101;20250527;20260630;Radiologisk afdeling X;66.0;;;;SKS;;;;3.0;;
afd;1301052;19770101;19770101;19821231;ONKOLOGISK KONSULENT;22.0;;;;;;;;;;
afd;1301052;19850101;19850101;19941231;RADIOLOGISK AFD.X,ORTOPÆD.RAD.;66.0;;;;;;;;;;
afd;1301052;19950101;19950101;19951231;RADIOLOGISK AFD.X,ORTOPÆD.RAD.;66.0;;;;;;;;;;
afd;1301053;19790101;19790101;19821231;RADIOLOGISK AFD. X CENTR. AFSN;66.0;;;;;;;;;;
afd;1301053;19830101;19830101;19941231;RADIOLOGISK AFD. X CENTR. AFSN;66.0;;;;;;;;;;
afd;1301053;19950101;19950101;19951231;RADIOLOGISK AFD. X CENTR. AFSN;66.0;;;;;;;;;;
afd;1301054;19790101;19790101;19821231;RADIOLOGISK AFD. X CARDIOVASC.;66.0;;;;;;;;;;
afd;1301054;19830101;19830101;19941231;RADIOLOGISK AFD. X CARDIOVASC.;66.0;;;;;;;;;;
afd;1301054;19950101;19950101;19951231;RADIOLOGISK AFD. X CARDIOVASC.;66.0;;;;;;;;;;
afd;1301055;19850101;19850101;19901231;RADIOLOGISK AFD. X, STRANDB.;66.0;;;;;;;;;;
afd;1301057;19850101;19850101;19941231;RADIOLOGISK AFD. X, NEURORAD.;66.0;;;;;;;;;;
afd;1301057;19950101;19950101;19951231;RADIOLOGISK AFD. X, NEURORAD.;66.0;;;;;;;;;;
afd;130105A;20140101;20250527;20260630;Radiologisk Klinik GLO;66.0;;;;SKS;;;;3.0;;
afd;1301060;19760401;19760401;19761231;RADIOLOGISK AFD. TX;66.0;;;;;;;;;;
afd;1301061;19840101;19840101;19881216;KIRURGISK AFD. KIR, STRANDB.;30.0;;;;;;;;;;
afd;1301069;19840101;19840101;19881216;KIRURGISK AMB. KIR, STRANDB.;30.0;;;;;;;;;;
afd;1301070;19760401;19760401;19781231;NEUROLOGISK AFDELING XN;66.0;;;;;;;;;;
afd;1301071;19790101;19790101;19821231;NEURORADIOLOGISK AFD. XN;66.0;;;;;;;;;;
afd;1301071;19830101;19830101;19851231;NEURORADIOLOGISK AFD. XN;66.0;;;;;;;;;;
afd;1301080;19760401;19760401;19781231;FYSIURGISK AFDELING T;26.0;;;;;;;;;;
afd;1301081;19790101;19790101;19821231;FYSIURGISK AFD. T;26.0;;;;;;;;;;
afd;1301081;19830101;19830101;19831231;FYSIURGISK AFD. T;12.0;;;;;;;;;;
afd;1301081;19840101;19840101;19841231;MEDICINSK AFDELING;12.0;;;;;;;;;;
afd;1301087;19790101;19790101;19791231;FYSIURGISK AMB. T, TAGENSVEJ.;26.0;;;;;;;;;;
afd;1301087;19800101;19800101;19821231;FYSIURGISK KLINIK TT;26.0;;;;;;;;;;
afd;1301087;19830101;19830101;19831231;FYSIURGISK KLINIK TT;12.0;;;;;;;;;;
afd;1301089;19770101;19770101;19781231;FYSIURGISK AMBULATORIUM T;26.0;;;;;;;;;;
afd;1301089;19790101;19790101;19791231;FYSIURGISK AMB. T, BLEGDAMSVEJ;26.0;;;;;;;;;;
afd;1301089;19800101;19800101;19821231;FYSIURGISK KLINIK T;26.0;;;;;;;;;;
afd;1301089;19830101;19830101;19831231;FYSIURGISK KLINIK T;12.0;;;;;;;;;;
afd;1301089;19840101;19840101;19841231;MEDICINSK KLINIK T;12.0;;;;;;;;;;
afd;130109;20060101;20250527;20260630;Hjerne- og Rygmarvsskader, HRS;;;;;SKS;;;;3.0;;
afd;1301090;19760401;19760401;19761231;FYSIURGISK AFDELING TT;26.0;;;;;;;;;;
afd;1301091;19810101;19810101;19821231;FYSIURGISK AFDELING TH;26.0;;;;;;;;;;
afd;1301091;19830101;19830101;19831231;FYSIURGISK AFDELING TH;12.0;;;;;;;;;;
afd;1301091;19840101;19840101;19901231;MEDICINSK AFDELING TH;12.0;1.0;;;;;;;;;
afd;1301091;19910101;19910101;19941231;MEDICINSK AFDELING TH;12.0;1.0;;;;;;;;;
afd;1301091;19950101;19991124;19991231;MEDICINSK AFDELING TH;12.0;1.0;;;SKS;;;;3.0;;
afd;1301091;20000101;20220721;20220729;Klinik for rygmarvsskader TH, heldøgn;12.0;1.0;;;SKS;;;;3.0;;
afd;1301092;20140101;20240119;20240127;Kl. f. Rygmarvsskader seng GLO;12.0;1.0;;;SKS;;;;3.0;;
afd;1301093;20210101;20250527;20260630;Hjerne- og Rygmarvsskader HRS, Senge GLO;20.0;;;;SKS;;;;3.0;;
afd;1301096;19930101;19930101;19931231;MED. AFD. TH, DELDØGNSAFSNIT;12.0;;;;;;;;;;
afd;1301096;19940101;19940101;19941231;MED. AFD. TH, DAGAFSNIT;12.0;;;;;;;;;;
afd;1301096;19950101;19991124;19991231;MED. AFD. TH, DAGAFSNIT;12.0;;;;SKS;;;;3.0;;
afd;1301096;20000101;20041029;20041031;Klinik for rygmarvsskader TH, dagafsnit;12.0;;;;SKS;;;;3.0;;
afd;1301097;20140101;20240119;20240127;Kl. f. Rygmarvsskader amb GLO;12.0;;;;SKS;;;;3.0;;
afd;1301099;19810101;19810101;19821231;FYSIURGISK KLINIK TH;26.0;;;;;;;;;;
afd;1301099;19830101;19830101;19831231;FYSIURGISK KLINIK TH;12.0;;;;;;;;;;
afd;1301099;19850101;19850101;19901231;MED. AFD. TH, PARAPLEGIKLINIK;12.0;;;;;;;;;;
afd;1301099;19910101;19910101;19941231;MED. AFD. TH, PARAPLEGIKLINIK;12.0;;;;;;;;;;
afd;1301099;19950101;19991124;19991231;MED. AFD. TH, PARAPLEGIKLINIK;12.0;;;;SKS;;;;3.0;;
afd;1301099;20000101;20220721;20220729;Klinik for rygmarvsskader TH, ambulatorium;12.0;;;;SKS;;;;3.0;;
afd;130109E;20030901;20220721;20220729;Klinik for rygmarvsskader TH, ergo;98.0;12.0;;;SKS;;;;3.0;;
afd;130109F;20030901;20220721;20220729;Klinik for rygmarvsskader TH, fys;98.0;12.0;;;SKS;;;;3.0;;
afd;130109G;20140101;20240119;20240127;Kl. f. Rygmarvsskader erg. GLO;98.0;12.0;;;SKS;;;;3.0;;
afd;130109H;20140101;20240119;20240127;Kl. f. Rygmarvsskader fys. GLO;98.0;12.0;;;SKS;;;;3.0;;
afd;130109N;20210101;20250527;20260630;Hjerne- og Rygmarvsskader HRS, Klinik GLO;20.0;;;;SKS;;;;3.0;;
afd;130110;20060101;20250527;20260630;Afdeling for Blodsygdomme, L;;;;;SKS;;;;3.0;;
afd;1301100;19760401;19760401;19761231;OPTRÆNINGSINSTITUT;26.0;;;;;;;;;;
afd;1301101;19840101;19840101;19941231;MED. HÆMATOLOGISK AFD. L;4.0;1.0;;;;;;;;;
afd;1301101;19950101;19991124;19991231;MED. HÆMATOLOGISK AFD. L;4.0;1.0;;;SKS;;;;3.0;;
afd;1301101;20000101;20250527;20260630;Blodsygdomme L, Senge;4.0;1.0;;;SKS;;;;3.0;;
afd;1301102;19890101;19890101;19941231;MED.HÆMAT.AFD.L,KNOGLEM.TRANS.;4.0;1.0;;;;;;;;;
afd;1301102;19950101;19950101;19961231;MED.HÆMAT.AFD.L,KNOGLEM.TRANS.;4.0;1.0;;;;;;;;;
afd;1301102;19970101;19981203;19981231;MED.HÆM.AFD. L, KMT-AKT.;4.0;1.0;;;SKS;;;;3.0;;
afd;1301106;19840101;19840101;19941231;MED. HÆMATOL. AFD. L,DAGAFSNIT;4.0;1.0;;;;;;;;;
afd;1301106;19950101;19950101;19961231;MED. HÆMATOL. AFD. L,DAGAFSNIT;4.0;1.0;;;;;;;;;
afd;1301106;19970101;19991124;19991231;MED.HÆM.AFD. L, DELDØGNSAKT.;4.0;1.0;;;SKS;;;;3.0;;
afd;1301106;20000101;20041029;20041231;Hæmatologisk klinik L, deldøgn;4.0;1.0;;;SKS;;;;3.0;;
afd;1301107;19840101;19840101;19891231;FYSIURGI/ERGOTERAPI, STRANDB.;1.0;12.0;;;;;;;;;
afd;1301109;19840101;19840101;19941231;MEDICINSK HÆMATOLOGISK AMB. L;4.0;1.0;;;;;;;;;
afd;1301109;19950101;19950101;19961231;MEDICINSK HÆMATOLOGISK AMB. L;4.0;1.0;;;;;;;;;
afd;1301109;19970101;19991124;19991231;MED.HÆM.AFD. L,AMBULATORIEAKT.;4.0;1.0;;;SKS;;;;3.0;;
afd;1301109;20000101;20250527;20260630;Blodsygdomme L, Klinik;4.0;1.0;;;SKS;;;;3.0;;
afd;1301110;19760401;19760401;19781231;FØDE- OG GYNÆKOLOGISK AFD Y;38.0;;;;;;;;;;
afd;1301111;19770101;19770101;19781231;GYNÆKOLOGISK AFSNIT;38.0;;;;;;;;;;
afd;1301117;19770101;19770101;19781231;GYNÆKOLOGISK AMBULATORIUM;38.0;;;;;;;;;;
afd;1301119;19770101;19770101;19781231;FØDE- OG GYNÆKOLOGISK AMB Y;38.0;;;;;;;;;;
afd;1301119;19840101;19840101;19851231;ØREAFD. AMB. ØRE, FINSEN;46.0;;;;;;;;;;
afd;130112;20060101;20250527;20260630;Hepatologisk Klinik, A;;;;;SKS;;;;3.0;;
afd;1301120;19760401;19760401;19781231;MEDICINSK AFDELING A;1.0;;;;;;;;;;
afd;1301121;19870831;19870831;19911231;MED.AFD. A.,MED.REG.AFSNIT;1.0;;;;;;;;;;
afd;1301122;19790101;19790101;19821231;MED. AFD. A,HÆMATOLOGISK AFSN.;1.0;;;;;;;;;;
afd;1301122;19830101;19830101;19841231;MED. AFD. A,HÆMATOLOGISK AFSN.;4.0;1.0;;;;;;;;;
afd;1301122;19850101;19850101;19851010;MED. AFD. A;3.0;4.0;1.0;;;;;;;;
afd;1301122;19851011;19851011;19851231;MED. AFD. A;3.0;4.0;1.0;;;;;;;;
afd;1301122;19860101;19860101;19941231;MED. AFD. A;1.0;3.0;9.0;;;;;;;;
afd;1301122;19950101;19950101;19951231;MED. AFD. A;1.0;3.0;9.0;;;;;;;;
afd;1301122;19960101;19991124;19991231;MED. AFD. A;1.0;3.0;;;SKS;;;;3.0;;
afd;1301122;20000101;20200813;20200821;Hepatologisk klinik A, heldøgn;1.0;3.0;;;SKS;;;;3.0;;
afd;1301123;19790101;19790101;19821231;MED. AFD. A,HEPATOLOGISK AFSN.;1.0;;;;;;;;;;
afd;1301123;19830101;19830101;19851231;MED. AFD. A,HEPATOLOGISK AFSN.;3.0;1.0;;;;;;;;;
afd;1301127;19790101;19790101;19821231;MED. AFD. A, HÆMATOLOGISK AMB.;1.0;;;;;;;;;;
afd;1301127;19830101;19830101;19851231;MED. AFD. A, HÆMATOLOGISK AMB.;4.0;1.0;;;;;;;;;
afd;1301129;19770101;19770101;19781231;MEDICINSK AMBULATORIUM;1.0;;;;;;;;;;
afd;1301129;19790101;19790101;19821231;MED. AFD. A, HEPATOLOGISK AMB.;1.0;;;;;;;;;;
afd;1301129;19830101;19830101;19841231;MED. AFD. A, HEPATOLOGISK AMB.;3.0;1.0;;;;;;;;;
afd;1301129;19850101;19850101;19851231;MEDICINSK AMB. A;3.0;4.0;1.0;;;;;;;;
afd;1301129;19860101;19860101;19941231;MEDICINSK AMB. A;1.0;3.0;9.0;;;;;;;;
afd;1301129;19950101;19950101;19951231;MEDICINSK AMB. A;1.0;3.0;9.0;;;;;;;;
afd;1301129;19960101;19991124;19991231;MEDICINSK AMB. A;1.0;3.0;;;SKS;;;;3.0;;
afd;1301129;20000101;20200813;20200821;Hepatologisk klinik A, ambulatorium;1.0;3.0;;;SKS;;;;3.0;;
afd;130113;20060101;20250527;20260630;Reumatologisk / Allergologisk Klinik, TA;;;;;SKS;;;;3.0;;
afd;1301130;19760401;19760401;19781231;MEDICINSK AFDELING TA;1.0;;;;;;;;;;
afd;1301131;19770101;19770101;19781231;ALLERGIKLINIKKEN FOR VOKSNE;1.0;;;;;;;;;;
afd;1301131;20000410;20130423;20130501;Allergologisk klinik TA, heldøgn;7.0;1.0;;;SKS;;;;3.0;;
afd;1301132;19790101;19790101;19821231;MEDICINSK AFD. TA;1.0;;;;;;;;;;
afd;1301132;19830101;19830101;19831231;MEDICINSK AFD. TA;7.0;12.0;1.0;;;;;;;;
afd;1301132;19840101;19840101;19841231;MEDICINSK AFDELING TA;12.0;7.0;1.0;;;;;;;;
afd;1301132;19850101;19850101;19901231;MEDICINSK AFDELING TTA;12.0;7.0;1.0;;;;;;;;
afd;1301132;19910101;19910101;19941231;MEDICINSK AFDELING TTA;12.0;7.0;1.0;;;;;;;;
afd;1301132;19950101;19950101;19951231;MEDICINSK AFDELING TTA;12.0;7.0;1.0;;;;;;;;
afd;1301132;19960101;19991124;19991231;MEDICINSK AFDELING TA;12.0;7.0;1.0;;SKS;;;;3.0;;
afd;1301132;20000101;20130423;20130501;Reumatologisk klinik TA, heldøgn;12.0;1.0;;;SKS;;;;3.0;;
afd;1301134;19930101;19930101;19941231;MED. AFD. TTA, RHEUMAKLIN.HKP;12.0;;;;;;;;;;
afd;1301134;19950101;19950101;19951231;MED. AFD. TTA, RHEUMAKLIN.HKP;12.0;;;;;;;;;;
afd;1301135;19890101;19890101;19901231;MED.TTA,SEK.F.IDRÆTS-/MOT.MED.;12.0;1.0;;;;;;;;;
afd;1301135;19910101;19910101;19941231;MED.TTA,SEK.F.IDRÆTS-/MOT.MED.;12.0;1.0;;;;;;;;;
afd;1301135;19950101;19950101;19951231;MED.TTA,SEK.F.IDRÆTS-/MOT.MED.;12.0;1.0;;;;;;;;;
afd;1301136;19800101;19800101;19811231;MED. AFD. TA, ALLERGIAFSNIT;1.0;;;;;;;;;;
afd;1301136;19930101;19930101;19941231;MED.AFD.TTA,RYGCENTER,DAGAFSN.;12.0;;;;;;;;;;
afd;1301136;19950101;19950101;19951231;MED.AFD.TTA,RYGCENTER,DAGAFSN.;12.0;;;;;;;;;;
afd;1301136;20010101;20041029;20041231;Reumatologisk klinik TA, Reumatologi, deldøgn;12.0;1.0;;;SKS;;;;3.0;;
afd;1301137;19770101;19770101;19781231;ALLERGIAMBULATORIUM FOR VOKSNE;1.0;;;;;;;;;;
afd;1301137;19790101;19790101;19821231;MED.AFD.TA ALLERGIAMBULATORIUM;1.0;;;;;;;;;;
afd;1301137;19830101;19830101;19831231;MED.AFD.TA ALLERGIAMBULATORIUM;7.0;1.0;;;;;;;;;
afd;1301137;19840101;19840101;19841231;MEDICINSK AFD.TA,ALLERGIKLINIK;7.0;1.0;;;;;;;;;
afd;1301137;19850101;19850101;19941231;MED. AFD. TTA, ALLERGIENHED;7.0;1.0;;;;;;;;;
afd;1301137;19950101;19950101;19951231;MED. AFD. TTA, ALLERGIENHED;7.0;1.0;;;;;;;;;
afd;1301137;19960101;19991124;19991231;MED. AFD. TA, ALLERGIENHED;7.0;1.0;;;SKS;;;;3.0;;
afd;1301137;20000101;20130606;20130614;Allergologisk klinik TA, ambulatorium;7.0;1.0;;;SKS;;;;3.0;;
afd;1301138;19850101;19850101;19851231;MED.AFD.TTA, REUMA.KLINIK, TGV;12.0;;;;;;;;;;
afd;1301138;19860101;19860101;19901231;MED.AFD.TTA, REUMA.KLINIK TGV;12.0;1.0;;;;;;;;;
afd;1301138;19910101;19910101;19931231;MED.AFD.TTA, REUMA.KLINIK TGV;12.0;1.0;;;;;;;;;
afd;1301139;19770101;19770101;19781231;MEDICINSK AMBULATORIUM TA;1.0;;;;;;;;;;
afd;1301139;19790101;19790101;19821231;MED.AFD. TA, RHEUMAT. AMB.;1.0;;;;;;;;;;
afd;1301139;19830101;19830101;19831231;MED.AFD. TA, RHEUMAT. AMB.;12.0;1.0;;;;;;;;;
afd;1301139;19840101;19840101;19841231;MED.AFD. TA, REUMATOLOGIKLINIK;12.0;1.0;;;;;;;;;
afd;1301139;19850101;19850101;19901231;MED.AFD.TTA, REUMA.KLINIK BLGV;12.0;1.0;;;;;;;;;
afd;1301139;19910101;19910101;19931231;MED.AFD.TTA, REUMA.KLINIK BLGV;12.0;1.0;;;;;;;;;
afd;1301139;19940101;19940101;19941231;MED.AFD.TTA,REUM.KLIN.TGV,BLGV;12.0;1.0;;;;;;;;;
afd;1301139;19950101;19950101;19951231;MED.AFD.TTA,REUM.KLIN.TGV,BLGV;12.0;1.0;;;;;;;;;
afd;1301139;19960101;19991124;19991231;MED. AMB. TA, REUM. KLINIK;12.0;1.0;;;SKS;;;;3.0;;
afd;1301139;20000101;20130423;20130501;Reumatologisk klinik TA, ambulatorium;12.0;1.0;;;SKS;;;;3.0;;
afd;130114;20060101;20190829;20190906;Flyvemedicinsk Center, FC;;;;;SKS;;;;3.0;;
afd;1301140;19760401;19760401;19761231;AKUT MODTAGEAFD;1.0;;;;;;;;;;
afd;1301141;19840101;19840101;19871231;FLYVEMEDICINSK KLINIK;1.0;44.0;46.0;;;;;;;;
afd;1301141;19880101;19880101;19901231;FLYVEMEDICINSK KLINIK;1.0;44.0;46.0;;;;;;;;
